,Avg volume,Avg price,Avg var,Price change var,Avg dollar volume,gammaD
BZF,998954.9602344077,82.97481370640878,0.0004969067053266127,3.421113078671643,82888101.72654296,1.526988705495546e-06
EEM,64019540.438489646,33.09507476165437,0.00041697138393546315,0.4567020742240768,2118731477.0185697,7.119028078358743e-08
EXI,28443.321153065368,51.13571606929158,0.00021190707350702783,0.5541076391739791,1454469.594550826,0.00020405760028762362
GCF,535754.3184609087,1264.6966435810702,0.00014695229287306743,235.0439617151679,677566688.341575,6.316470361356796e-07
HYG,4671965.205034511,54.70854504980598,6.403877367781218e-05,0.1916696442770789,255596418.89075658,3.842422389478827e-06
IEV,645292.2046285018,31.603412685866672,0.0002747008232130085,0.274364505180255,20393435.845847268,1.1226710241444632e-05
IVV,4190495.8993097846,136.8246829195135,0.00016153388353919138,3.0240748412771254,573363272.6985828,6.790619104500599e-07
IXG,67586.60170523751,40.52328260633164,0.00037640371862373683,0.6181062599412219,2738830.9613029156,6.1007572067982206e-05
IXN,338778.80633373937,11.671534636424317,0.000182210379961301,0.02482155813148763,3954068.572210725,8.729423537413619e-05
IYR,12518998.051157126,47.313126246908844,0.00046103974667131343,1.0320521871252462,592312935.2792029,2.3031026265607337e-07
TLT,7341863.987007714,90.3148510151165,9.251717660654008e-05,0.7546415447028214,663079352.159851,1.0252151150117401e-06
