,Avg volume,Avg price,Price change vol,gammaD
BZ=F,9989.549602344077,82.97481370640878,1.849625118414984,0.00030539774109910917
EEM,64019540.438489646,33.09507474616636,0.6757973530617759,1.423805651851413e-07
EXI,28443.321153065368,51.13571600191873,0.7443839709071927,0.0004081153053833259
GC=F,5357.543184609087,1264.6966435810702,15.331143522750281,0.00012632940722713594
HYG,4671965.205034511,54.883429835881344,0.43919971273004704,7.660381889894702e-06
IEV,645292.2046285018,31.603412585581797,0.5237981324783859,2.2453422178717502e-05
IVV,4190495.8993097846,136.82468318590728,1.7389858347678295,1.3581252192502259e-06
IXG,67586.60170523751,40.52328283439262,0.7861974788867478,0.00012201510221025186
IXN,338778.80633373937,11.671534692181158,0.15754854850152394,0.00017458856299676047
IYR,12518998.051157126,47.31312638320334,1.0158990832598802,4.606210799620397e-07
TLT,7341863.987007714,90.42996018503044,0.8698073653913205,2.0478244057309048e-06
