"","x"
"[EEM].mu",1.01596689097988
"[EEM].omega",9.61964318603576e-05
"[EEM].alpha1",0.914192107924079
"[EEM].beta1",0.0806618929679337
"[EWZ].mu",0.771049270689532
"[EWZ].omega",0.000147759300016677
"[EWZ].alpha1",0.966532975216962
"[EWZ].beta1",0.0324581191456694
"[FXI].mu",1.03770796651026
"[FXI].omega",9.56766086801882e-05
"[FXI].alpha1",0.792562924236087
"[FXI].beta1",0.206436874100589
"[GDX].mu",0.376976697482562
"[GDX].omega",3.37658629123423e-05
"[GDX].alpha1",0.852692051031332
"[GDX].beta1",0.140307804492166
"[HYG].mu",1.27371058073356
"[HYG].omega",1.82881646763085e-05
"[HYG].alpha1",0.979887839495819
"[HYG].beta1",0.0134769769480179
"[SLV].mu",0.386161625386996
"[SLV].omega",1.57451059668189e-05
"[SLV].alpha1",0.933174392549446
"[SLV].beta1",0.0658252821139327
"[SPY].mu",1.85403471487764
"[SPY].omega",0.000133092117950191
"[SPY].alpha1",0.909525797036239
"[SPY].beta1",0.0844710486402445
"[TLT].mu",1.31541753502878
"[TLT].omega",7.62432430909831e-05
"[TLT].alpha1",0.966076185888831
"[TLT].beta1",0.0329231334336995
"[XLF].mu",1.93121211459998
"[XLF].omega",0.000108705021153795
"[XLF].alpha1",0.689906052799646
"[XLF].beta1",0.309093847321836
"[XLU].mu",1.51126177828636
"[XLU].omega",0.000140557828427205
"[XLU].alpha1",0.829314534892623
"[XLU].beta1",0.168466694696505
"[Joint]dcca1",0.139121587820995
"[Joint]dccb1",0.860512512540665
