Name,estimate
BZ_F.mu,0.0574
BZ_F.omega,0.0415
BZ_F.alpha1,0.0822
BZ_F.beta1,0.9159
BZ_F.shape,4.5993
EEM.mu,0.0622
EEM.omega,0.0381
EEM.alpha1,0.1023
EEM.beta1,0.8834
EEM.shape,9.458
EXI.mu,0.083
EXI.omega,0.0183
EXI.alpha1,0.1226
EXI.beta1,0.8731
EXI.shape,6.508
GC_F.mu,0.0406
GC_F.omega,0.0056
GC_F.alpha1,0.0338
GC_F.beta1,0.9636
GC_F.shape,4.2064
HYG.mu,0.0362
HYG.omega,0.0035
HYG.alpha1,0.1682
HYG.beta1,0.8308
HYG.shape,4.7763
IEV.mu,0.0683
IEV.omega,0.0211
IEV.alpha1,0.1214
IEV.beta1,0.8763
IEV.shape,5.6979
IVV.mu,0.1003
IVV.omega,0.0205
IVV.alpha1,0.169
IVV.beta1,0.83
IVV.shape,5.2862
IXG.mu,0.0812
IXG.omega,0.0267
IXG.alpha1,0.1255
IXG.beta1,0.8697
IXG.shape,5.9966
IXN.mu,0.1271
IXN.omega,0.029
IXN.alpha1,0.1224
IXN.beta1,0.868
IXN.shape,5.9008
IYR.mu,0.0868
IYR.omega,0.0169
IYR.alpha1,0.1198
IYR.beta1,0.8755
IYR.shape,7.8125
TLT.mu,0.0265
TLT.omega,0.0152
TLT.alpha1,0.0664
TLT.beta1,0.9155
TLT.shape,14.9441
Joint.dcca1,0.0159
Joint.dccb1,0.9734
Joint.mshape,9.4651
